Gene1	Gene2	Better Similarity With Homology	Similarity With Homology	LCS With Homology	Annotation Pair leading to best match	Common subsumer set	Similarity Without Homology	LCS Without Homology	Annotation Pair leading to best match	Common subsumer set	
MGI:104686	ZFIN:ZDB-GENE-040426-2951	0	2.5	WithHomologyGO_0048646	MP_0010465--ZP_0006415	WithoutHomologyGO_0032502,WithHomologyGO_0044699,WithHomologyGO_0044767,WithoutHomologyGO_0048646,WithHomologyGO_0032502,WithHomologyGO_0048646,WithoutHomologyGO_0044767,WithoutHomologyGO_0044699,WithHomologyGO_0008150,WithoutHomologyGO_0008150	2.5	WithoutHomologyGO_0048646	MP_0010465--ZP_0006415	WithoutHomologyGO_0032502,WithoutHomologyGO_0044767,WithoutHomologyGO_0044699,WithoutHomologyGO_0048646,WithoutHomologyGO_0008150
MGI:1351511	ZFIN:ZDB-GENE-030131-5541	0	0.82	WithHomologyUBERON_0000468	MP_0011096--ZP_0000324	WithHomologyUBERON_0010000,WithHomologyUBERON_0000465,WithHomologyUBERON_0000468,WithoutHomologyUBERON_0000061,WithoutHomologyUBERON_0010000,WithHomologyUBERON_0000061,WithoutHomologyUBERON_0001062,WithHomologyUBERON_0001062,WithoutHomologyUBERON_0000468,WithoutHomologyUBERON_0000465	0.82	WithoutHomologyUBERON_0000468	MP_0011096--ZP_0000324	WithoutHomologyUBERON_0001062,WithoutHomologyUBERON_0000465,WithoutHomologyUBERON_0010000,WithoutHomologyUBERON_0000061,WithoutHomologyUBERON_0000468
MGI:96208	ZFIN:ZDB-GENE-980526-214	0	0.65	WithHomologyUBERON_0000477	MP_0004615--ZP_0009671	WithoutHomologyUBERON_0000480,WithHomologyUBERON_0000467,WithHomologyUBERON_0000477,WithHomologyUBERON_0000465,WithHomologyUBERON_0000480,WithoutHomologyUBERON_0000061,WithoutHomologyUBERON_0010000,WithHomologyUBERON_0000061,WithHomologyUBERON_0004120,WithoutHomologyUBERON_0000465,WithoutHomologyUBERON_0000477,WithoutHomologyUBERON_0000467,WithHomologyUBERON_0001062,WithoutHomologyUBERON_0004120,WithoutHomologyUBERON_0001062,WithHomologyUBERON_0010000	0.65	WithoutHomologyUBERON_0000477	MP_0004615--ZP_0009671	WithoutHomologyUBERON_0000480,WithoutHomologyUBERON_0000061,WithoutHomologyUBERON_0010000,WithoutHomologyUBERON_0001062,WithoutHomologyUBERON_0000477,WithoutHomologyUBERON_0000467,WithoutHomologyUBERON_0004120,WithoutHomologyUBERON_0000465
MGI:1346869	ZFIN:ZDB-GENE-060512-98	0	1.85	WithHomologyGO_0001701	MP_0012235--ZP_0000141	WithHomologyGO_0048856,WithoutHomologyGO_0048856,WithoutHomologyGO_0008150,WithHomologyGO_0043009,WithHomologyGO_0044767,WithHomologyGO_0009792,WithHomologyGO_0009790,WithHomologyGO_0032502,WithHomologyGO_0001701,WithoutHomologyGO_0009792,WithoutHomologyGO_0044767,WithoutHomologyGO_0044699,WithHomologyGO_0008150,WithoutHomologyGO_0009790,WithoutHomologyGO_0032502,WithoutHomologyGO_0043009,WithoutHomologyGO_0001701,WithHomologyGO_0044699	1.85	WithoutHomologyGO_0001701	MP_0012235--ZP_0000141	WithoutHomologyGO_0032502,WithoutHomologyGO_0044699,WithoutHomologyGO_0009790,WithoutHomologyGO_0001701,WithoutHomologyGO_0044767,WithoutHomologyGO_0043009,WithoutHomologyGO_0008150,WithoutHomologyGO_0009792,WithoutHomologyGO_0048856
MGI:1353624	ZFIN:ZDB-GENE-070521-8	0	1.86	WithoutHomologyUBERON_0000948	MP_0004485--ZP_0000223	WithHomologyBFO_0000040,WithoutHomologyUBERON_0004535,WithoutHomologyUBERON_0007100,WithoutHomologyUBERON_0000465,WithHomologyUBERON_0004535,WithoutHomologyUBERON_0000467,WithoutHomologyUBERON_0004120,WithHomologyUBERON_0005181,WithoutHomologyUBERON_0010314,WithoutHomologyGO_0008150,WithHomologyUBERON_0000467,WithHomologyUBERON_0000465,WithHomologyUBERON_0000480,WithoutHomologyUBERON_0000948,WithoutHomologyBFO_0000040,WithoutHomologyUBERON_0010000,WithHomologyUBERON_0004120,WithHomologyGO_0008150,WithHomologyUBERON_0010314,WithoutHomologyUBERON_0005181,WithHomologyUBERON_0000062,WithoutHomologyUBERON_0015228,WithoutHomologyUBERON_0000062,WithHomologyUBERON_0000948,WithHomologyUBERON_0001062,WithHomologyUBERON_0000061,WithHomologyUBERON_0010000,WithoutHomologyUBERON_0003103,WithoutHomologyUBERON_0000480,WithoutHomologyUBERON_0005177,WithHomologyUBERON_0007100,WithHomologyUBERON_0003103,WithHomologyUBERON_0005177,WithHomologyUBERON_0015228,WithoutHomologyUBERON_0001062,WithoutHomologyUBERON_0000061	1.86	WithoutHomologyUBERON_0000948	MP_0004485--ZP_0000223	WithoutHomologyUBERON_0003103,WithoutHomologyUBERON_0010314,WithoutHomologyUBERON_0000480,WithoutHomologyGO_0008150,WithoutHomologyUBERON_0015228,WithoutHomologyUBERON_0004535,WithoutHomologyUBERON_0005177,WithoutHomologyUBERON_0000061,WithoutHomologyUBERON_0000948,WithoutHomologyBFO_0000040,WithoutHomologyUBERON_0010000,WithoutHomologyUBERON_0007100,WithoutHomologyUBERON_0000465,WithoutHomologyUBERON_0000467,WithoutHomologyUBERON_0004120,WithoutHomologyUBERON_0001062,WithoutHomologyUBERON_0000062,WithoutHomologyUBERON_0005181
MGI:107689	ZFIN:ZDB-GENE-050417-71	0	3.77	WithHomologyGO_0005929	MP_0012093--ZP_0007650	WithHomologyGO_0044464,WithHomologyBFO_0000040,WithoutHomologyGO_0044464,WithoutHomologyUBERON_0000465,WithHomologyGO_0005929,WithoutHomologyGO_0005575,WithHomologyGO_0005623,WithoutHomologyGO_0005623,WithHomologyUBERON_0010000,WithHomologyUBERON_0000465,WithHomologyGO_0042995,WithoutHomologyBFO_0000040,WithoutHomologyUBERON_0010000,WithHomologyGO_0043226,WithoutHomologyGO_0043226,WithHomologyCL_0000000,WithoutHomologyUBERON_0000061,WithHomologyUBERON_0000061,WithHomologyUBERON_0001062,WithoutHomologyCL_0000000,WithHomologyGO_0005575,WithoutHomologyGO_0005929,WithoutHomologyGO_0042995,WithoutHomologyUBERON_0001062	3.77	WithoutHomologyGO_0005929	MP_0012093--ZP_0007650	WithoutHomologyGO_0005623,WithoutHomologyCL_0000000,WithoutHomologyUBERON_0000061,WithoutHomologyBFO_0000040,WithoutHomologyUBERON_0010000,WithoutHomologyGO_0005929,WithoutHomologyUBERON_0000465,WithoutHomologyGO_0042995,WithoutHomologyGO_0044464,WithoutHomologyUBERON_0001062,WithoutHomologyGO_0005575,WithoutHomologyGO_0043226
MGI:107688	ZFIN:ZDB-GENE-050119-3	0	4.58	WithHomologyGO_0072372	MP_0004132--ZP_0007461	WithHomologyGO_0044464,WithHomologyBFO_0000040,WithHomologyGO_0072372,WithoutHomologyGO_0072372,WithHomologyGO_0005929,WithoutHomologyUBERON_0000465,WithoutHomologyGO_0044464,WithHomologyGO_0042995,WithHomologyGO_0005623,WithoutHomologyGO_0005623,WithHomologyUBERON_0010000,WithHomologyUBERON_0000465,WithoutHomologyGO_0005575,WithoutHomologyBFO_0000040,WithoutHomologyUBERON_0010000,WithHomologyGO_0043226,WithoutHomologyGO_0043226,WithHomologyCL_0000000,WithoutHomologyUBERON_0000061,WithHomologyUBERON_0000061,WithHomologyUBERON_0001062,WithoutHomologyCL_0000000,WithHomologyGO_0005575,WithoutHomologyGO_0005929,WithoutHomologyGO_0042995,WithoutHomologyUBERON_0001062	4.58	WithoutHomologyGO_0072372	MP_0004132--ZP_0007461	WithoutHomologyGO_0005623,WithoutHomologyCL_0000000,WithoutHomologyUBERON_0000061,WithoutHomologyGO_0072372,WithoutHomologyBFO_0000040,WithoutHomologyUBERON_0010000,WithoutHomologyGO_0005929,WithoutHomologyUBERON_0000465,WithoutHomologyGO_0042995,WithoutHomologyGO_0044464,WithoutHomologyUBERON_0001062,WithoutHomologyGO_0005575,WithoutHomologyGO_0043226
MGI:2429765	ZFIN:ZDB-GENE-080108-5	0	4.66	WithoutHomologyCL_0008002	MP_0009402--ZP_0003820	WithoutHomologyCL_0002242,WithoutHomologyCL_0000187,WithHomologyCL_0000393,WithoutHomologyCL_0000183,WithHomologyCL_0000255,WithoutHomologyUBERON_0005090,WithoutHomologyCL_0000188,WithoutHomologyCL_0008002,WithHomologyCL_0000211,WithoutHomologyUBERON_0000465,WithoutHomologyUBERON_0000467,WithHomologyUBERON_0001134,WithoutHomologyUBERON_0004120,WithHomologyCL_0000188,WithHomologyCL_0002372,WithHomologyBFO_0000040,WithHomologyCL_0000187,WithHomologyGO_0005623,WithoutHomologyGO_0005623,WithHomologyCL_0000737,WithoutHomologyUBERON_0001134,WithHomologyUBERON_0010000,WithoutHomologyCL_0000003,WithHomologyUBERON_0000465,WithHomologyUBERON_0000480,WithoutHomologyGO_0005575,WithoutHomologyBFO_0000040,WithoutHomologyUBERON_0010000,WithoutHomologyUBERON_0000383,WithoutHomologyCL_0000000,WithHomologyUBERON_0001630,WithoutHomologyCL_0000228,WithoutHomologyUBERON_0002385,WithHomologyCL_0002371,WithoutHomologyCL_0000255,WithHomologyCL_0000228,WithHomologyUBERON_0000383,WithHomologyCL_0000003,WithHomologyCL_0000000,WithoutHomologyCL_0000211,WithHomologyUBERON_0000062,WithoutHomologyUBERON_0000061,WithHomologyUBERON_0000061,WithHomologyUBERON_0005090,WithoutHomologyUBERON_0001062,WithoutHomologyUBERON_0001630,WithoutHomologyUBERON_0000062,WithHomologyUBERON_0001062,WithHomologyCL_0000183,WithoutHomologyUBERON_0000479,WithHomologyCL_0002242,WithHomologyUBERON_0000467,WithoutHomologyUBERON_0000480,WithoutHomologyCL_0000393,WithHomologyGO_0005575,WithHomologyUBERON_0000479,WithoutHomologyCL_0000548,WithoutHomologyUBERON_0002036,WithHomologyCL_0000548,WithHomologyUBERON_0004120,WithHomologyUBERON_0002385,WithoutHomologyCL_0000737,WithoutHomologyCL_0002372,WithoutHomologyCL_0002371,WithHomologyCL_0008002,WithHomologyUBERON_0002036	4.66	WithoutHomologyCL_0008002	MP_0009402--ZP_0003820	WithoutHomologyCL_0000187,WithoutHomologyCL_0000183,WithoutHomologyUBERON_0005090,WithoutHomologyCL_0000188,WithoutHomologyCL_0008002,WithoutHomologyUBERON_0000465,WithoutHomologyUBERON_0000467,WithoutHomologyCL_0002372,WithoutHomologyUBERON_0004120,WithoutHomologyGO_0005575,WithoutHomologyGO_0005623,WithoutHomologyUBERON_0001134,WithoutHomologyCL_0000000,WithoutHomologyCL_0000003,WithoutHomologyBFO_0000040,WithoutHomologyUBERON_0010000,WithoutHomologyUBERON_0000383,WithoutHomologyCL_0000228,WithoutHomologyUBERON_0002385,WithoutHomologyCL_0000255,WithoutHomologyCL_0000211,WithoutHomologyUBERON_0000061,WithoutHomologyUBERON_0000062,WithoutHomologyUBERON_0001062,WithoutHomologyUBERON_0001630,WithoutHomologyCL_0002242,WithoutHomologyUBERON_0000479,WithoutHomologyUBERON_0000480,WithoutHomologyCL_0000393,WithoutHomologyCL_0000737,WithoutHomologyUBERON_0002036,WithoutHomologyCL_0002371,WithoutHomologyCL_0000548
MGI:104688	ZFIN:ZDB-GENE-070912-689	0	3.65	WithHomologyUBERON_0001846	MP_0000048--ZP_0001246	WithoutHomologyUBERON_0000033,WithHomologyBFO_0000040,WithoutHomologyUBERON_0000020,WithoutHomologyUBERON_0000475,WithoutHomologyUBERON_0011676,WithHomologyUBERON_0001690,WithoutHomologyUBERON_0000465,WithoutHomologyUBERON_0000467,WithHomologyUBERON_0001032,WithoutHomologyUBERON_0004121,WithHomologyUBERON_0011676,WithoutHomologyUBERON_0010314,WithHomologyUBERON_0000467,WithHomologyUBERON_0000465,WithHomologyUBERON_0000480,WithoutHomologyUBERON_0001032,WithoutHomologyBFO_0000040,WithoutHomologyUBERON_0002105,WithoutHomologyUBERON_0010000,WithHomologyUBERON_0000033,WithHomologyUBERON_0010314,WithHomologyUBERON_0002105,WithHomologyUBERON_0001846,WithHomologyUBERON_0000062,WithoutHomologyUBERON_0000061,WithoutHomologyUBERON_0001690,WithoutHomologyUBERON_0000062,WithoutHomologyUBERON_0000477,WithHomologyUBERON_0001062,WithHomologyUBERON_0000061,WithHomologyUBERON_0010000,WithoutHomologyUBERON_0001846,WithoutHomologyUBERON_0000480,WithHomologyUBERON_0000475,WithHomologyUBERON_0000477,WithHomologyUBERON_0000020,WithoutHomologyUBERON_0001062,WithHomologyUBERON_0004121	3.65	WithoutHomologyUBERON_0001846	MP_0000048--ZP_0001246	WithoutHomologyUBERON_0000033,WithoutHomologyUBERON_0001846,WithoutHomologyUBERON_0000480,WithoutHomologyUBERON_0000020,WithoutHomologyUBERON_0011676,WithoutHomologyUBERON_0000465,WithoutHomologyUBERON_0001032,WithoutHomologyBFO_0000040,WithoutHomologyUBERON_0001690,WithoutHomologyUBERON_0010000,WithoutHomologyUBERON_0002105,WithoutHomologyUBERON_0001062,WithoutHomologyUBERON_0000477,WithoutHomologyUBERON_0000467,WithoutHomologyUBERON_0000475,WithoutHomologyUBERON_0004121,WithoutHomologyUBERON_0000062,WithoutHomologyUBERON_0000061,WithoutHomologyUBERON_0010314
MGI:1929518	ZFIN:ZDB-GENE-040622-1	0	3.29	WithoutHomologyUBERON_0004086	MP_0000820--ZP_0000800	WithHomologyBFO_0000040,WithoutHomologyUBERON_0000465,WithoutHomologyUBERON_0004086,WithoutHomologyUBERON_0000467,WithoutHomologyUBERON_0004121,WithHomologyUBERON_0001016,WithHomologyUBERON_0010000,WithHomologyUBERON_0000955,WithoutHomologyUBERON_0001016,WithHomologyUBERON_0000467,WithHomologyUBERON_0000465,WithHomologyUBERON_0000480,WithoutHomologyBFO_0000040,WithoutHomologyUBERON_0010000,WithHomologyUBERON_0004086,WithoutHomologyUBERON_0000064,WithHomologyUBERON_0000064,WithHomologyUBERON_0003947,WithHomologyUBERON_0000062,WithoutHomologyUBERON_0000062,WithHomologyUBERON_0001062,WithoutHomologyUBERON_0003947,WithoutHomologyUBERON_0000955,WithHomologyUBERON_0000061,WithHomologyUBERON_0005358,WithoutHomologyUBERON_0000480,WithoutHomologyUBERON_0005358,WithHomologyUBERON_0004121,WithoutHomologyUBERON_0001062,WithoutHomologyUBERON_0000061	3.29	WithoutHomologyUBERON_0005358	MP_0000820--ZP_0000800	WithoutHomologyUBERON_0001016,WithoutHomologyUBERON_0000480,WithoutHomologyUBERON_0005358,WithoutHomologyUBERON_0000064,WithoutHomologyBFO_0000040,WithoutHomologyUBERON_0010000,WithoutHomologyUBERON_0000062,WithoutHomologyUBERON_0000465,WithoutHomologyUBERON_0004086,WithoutHomologyUBERON_0000467,WithoutHomologyUBERON_0004121,WithoutHomologyUBERON_0003947,WithoutHomologyUBERON_0001062,WithoutHomologyUBERON_0000061,WithoutHomologyUBERON_0000955
